BatchId;PDatTime;ProcessTime;AG2100;AG2100;AG2100;AG2100;DPRESS;DPRESS;DPRESS;DPRESS;F_PERM;P2500;P2500;P2500;P2500;P3000;P3000;P3000;P3000;P3000_T;PIR2600;PIR2700;PIRC2500;PIRC2500;PIRC2500;PIRC2500;QIR2000;QIR2100;TIR2100;TMP;WIR2700;WIRC2100;WIRC2100;WIRC2100;WIRC2100
;;Value;Value;Setpoint;Mode;Output;Value;Output;Mode;Setpoint;Value;Setpoint;Value;Output;Mode;Setpoint;Mode;Output;Value;Value;Value;Value;Output;Value;Setpoint;Mode;Value;Value;Value;Value;Value;Value;Output;Setpoint;Mode
;;hours;rpm;rpm;;%;bar;%;;bar;g/min;%;%;%;;%;;%;%;g;bar;bar;%;bar;bar;;x;ms/cm;°C;bar;g;g;%;g;

20250324 50E15 DN 570 UF1;3/24/2025 12:35:58 PM;0.000725;200;200;1;20;1.8645;0;0;-1;0;10;10;10;1;100;0;0;0;0;-0.155;-0.1775;0;1.3885;1.9165;0;0;0;21.75;0.9595;-0.074999;288.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:03 PM;0.00211944444444444;200;200;1;20;1.749;0;0;-1;0;10;10;10;1;100;0;0;0;0;-0.1555;-0.177;0;1.2945;1.9165;0;0;0;21.735;0.9;-0.074999;288.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:08 PM;0.00351111111111111;200;200;1;20;1.581;0;0;-1;0;10;10;10;1;100;0;0;0;0;-0.1565;-0.1765;0;1.147;1.9165;0;0;0;21.75;0.8125;0.224997;288.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:13 PM;0.00490277777777778;200;200;1;20;1.4425;0;0;-1;1.71;10;10;10;1;100;0;0;0;0;-0.1435;-0.176;0;1.0715;1.9165;0;0;0;21.765;0.758;0.599992;287.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:18 PM;0.00629166666666667;200;200;1;20;1.1255;0;0;-1;1.71;10;10;10;1;100;0;0;0;0;0.2515;-0.1765;0;1.145;1.9165;0;0;0;21.75;1.006;1.199984;287.2;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:23 PM;0.00768055555555556;200;200;1;20;1.343;0;0;-1;1.71;10;10;10;1;100;0;0;0;0;0.4565;-0.1745;0;1.563;1.9165;0;0;0;21.78;1.45;2.174971;285.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:28 PM;0.009075;200;200;1;20;1.343;0;0;-1;1.71;10;10;10;1;100;0;0;0;0;0.4565;-0.1745;0;1.563;1.9165;0;0;0;21.78;1.45;2.174971;285.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:33 PM;0.0104638888888889;200;200;1;20;0.973;0;0;-1;1.71;10;10;10;1;100;0;0;0;0;0.715;-0.175;0;1.516;1.9165;0;0;0;21.78;1.5185;3.074959;285.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:38 PM;0.0118527777777778;200;200;1;20;1.019;0;0;-1;9.43;10;10;10;1;100;0;0;0;0;1.0285;-0.178;0;1.878;1.9165;0;0;0;21.795;1.9825;4.199944;283.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:43 PM;0.0132472222222222;200;200;1;20;0.969;0;0;-1;9.43;10;10;10;1;100;0;0;0;0;0.8515;-0.175;0;1.665;1.9165;0;0;0;21.795;1.691;5.174931;282.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:48 PM;0.0146361111111111;200;200;1;20;1.045;0;0;-1;9.43;10;10;10;1;100;0;0;0;0;1.272;-0.1745;0;2.1525;1.9165;0;0;0;21.795;2.272;6.524913;281.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:53 PM;0.0160277777777778;200;200;1;20;1.1295;0;0;-1;9.43;10;10;10;1;100;0;0;0;0;0.957;-0.1735;0;1.92;1.9165;0;0;0;21.78;1.937;7.424901;280.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:36:58 PM;0.0174194444444444;200;200;1;20;0.9535;0;0;-1;12;10;10;10;1;100;0;0;0;0;0.9095;-0.177;0;1.694;1.9165;0;0;0;21.78;1.767;8.099892;279.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:03 PM;0.0188083333333333;200;200;1;20;0.934;0;0;-1;12;10;10;10;1;100;0;0;0;0;1.2205;-0.1775;0;2.0165;1.9165;0;0;0;21.795;2.1415;9.224877;278.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:08 PM;0.0202;200;200;1;20;0.8925;0;0;-1;12;10;10;10;1;100;0;0;0;0;1.238;-0.176;0;1.979;1.9165;0;0;0;21.78;2.1525;10.424861;277.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:13 PM;0.0215888888888889;200;200;1;20;1.0085;0;0;-1;12;10;10;10;1;100;0;0;0;0;1.1905;-0.176;0;2.0235;1.9165;0;0;0;21.795;2.1535;11.324849;276.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:18 PM;0.0229805555555556;200;200;1;20;0.9525;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.0385;-0.1755;0;1.826;1.9165;0;0;0;21.795;1.941;12.374835;275.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:23 PM;0.0243722222222222;200;200;1;20;0.9605;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.0145;-0.177;0;1.819;1.9165;0;0;0;21.81;1.9075;13.424821;274.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:28 PM;0.0257611111111111;200;200;1;20;0.9815;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;0.9965;-0.175;0;1.835;1.9165;0;0;0;21.81;1.894;14.174811;273.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:33 PM;0.0271527777777778;200;200;1;20;0.997;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;0.978;-0.176;0;1.792;1.9165;0;0;0;21.825;1.8825;15.224797;272.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:38 PM;0.0285416666666667;200;200;1;20;1.03;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;0.999;-0.1755;0;1.861;1.9165;0;0;0;21.81;1.921;16.274783;271.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:43 PM;0.0299361111111111;200;200;1;20;0.896;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.153;-0.175;0;1.9085;1.9165;0;0;0;21.825;2.0335;17.324769;270.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:48 PM;0.031325;200;200;1;20;1.044;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1545;-0.175;0;2.028;1.9165;0;0;0;21.84;2.113;18.224757;269.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:53 PM;0.0327166666666667;200;200;1;20;1.044;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1545;-0.175;0;2.028;1.9165;0;0;0;21.84;2.113;18.224757;269.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:37:58 PM;0.0341055555555556;200;200;1;20;0.8685;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.18;-0.1775;0;1.898;1.9165;0;0;0;21.84;2.0685;19.49974;268.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:03 PM;0.0354972222222222;200;200;1;20;1.0465;0;0;-1;11.71;10;10;10;1;100;0;0;0;0;1.1615;-0.1755;0;2.018;1.9165;0;0;0;21.84;2.1215;20.399728;267.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:08 PM;0.0368888888888889;200;200;1;20;1.011;0;0;-1;11.71;10;10;10;1;100;0;0;0;0;1.1795;-0.174;0;2.043;1.9165;0;0;0;21.855;2.126;21.299716;266.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:13 PM;0.0382777777777778;200;200;1;20;0.9865;0;0;-1;11.71;10;10;10;1;100;0;0;0;0;1.1835;-0.175;0;1.9975;1.9165;0;0;0;21.855;2.115;22.199704;265.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:18 PM;0.0396722222222222;200;200;1;20;0.9855;0;0;-1;11.71;10;10;10;1;100;0;0;0;0;1.1725;-0.1765;0;1.995;1.9165;0;0;0;21.855;2.1195;23.324689;264.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:23 PM;0.0410638888888889;200;200;1;20;0.8885;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1595;-0.1765;0;1.905;1.9165;0;0;0;21.87;2.0375;24.299676;263.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:28 PM;0.0424527777777778;200;200;1;20;1.0575;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.154;-0.175;0;2.019;1.9165;0;0;0;21.87;2.121;25.199664;263;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:33 PM;0.0438472222222222;200;200;1;20;0.973;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.188;-0.174;0;2.0165;1.9165;0;0;0;21.885;2.1145;26.324649;261.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:38 PM;0.0452388888888889;200;200;1;20;1.0095;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.166;-0.176;0;1.994;1.9165;0;0;0;21.885;2.1085;27.224637;261.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:43 PM;0.0466305555555556;200;200;1;20;1.0355;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.181;-0.174;0;2.046;1.9165;0;0;0;21.9;2.139;28.199624;260.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:48 PM;0.0480222222222222;200;200;1;20;0.951;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.172;-0.1755;0;1.9595;1.9165;0;0;0;21.9;2.083;29.324609;258.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:53 PM;0.0494138888888889;200;200;1;20;1.028;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1645;-0.1755;0;2.025;1.9165;0;0;0;21.885;2.118;30.299596;258.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:38:58 PM;0.0508027777777778;200;200;1;20;0.945;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.161;-0.1745;0;1.954;1.9165;0;0;0;21.93;2.065;31.124585;257.2;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:03 PM;0.0521944444444444;200;200;1;20;1.1055;0;0;-1;11.43;10;10;10;1;100;0;0;0;0;1.1345;-0.1735;0;2.065;1.9165;0;0;0;21.915;2.1285;32.324569;256.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:08 PM;0.0535861111111111;200;200;1;20;1.002;0;0;-1;11.43;10;10;10;1;100;0;0;0;0;1.177;-0.1745;0;2.006;1.9165;0;0;0;21.93;2.1275;33.224557;255.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:13 PM;0.054975;200;200;1;20;1.043;0;0;-1;11.43;10;10;10;1;100;0;0;0;0;1.128;-0.175;0;1.9975;1.9165;0;0;0;21.93;2.092;34.124545;254.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:18 PM;0.0563694444444444;200;200;1;20;1.171;0;0;-1;11.43;10;10;10;1;100;0;0;0;0;1.187;-0.171;0;2.154;1.9165;0;0;0;21.93;2.2195;35.174531;253.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:23 PM;0.0577583333333333;200;200;1;20;1.171;0;0;-1;11.43;10;10;10;1;100;0;0;0;0;1.187;-0.171;0;2.154;1.9165;0;0;0;21.93;2.2195;35.174531;253.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:28 PM;0.0591527777777778;200;200;1;20;0.9315;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.149;-0.176;0;1.921;1.9165;0;0;0;21.945;2.0625;36.074519;252.4;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:33 PM;0.0605444444444444;200;200;1;20;1.0025;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.134;-0.177;0;1.9575;1.9165;0;0;0;21.93;2.0755;36.974507;251.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:38 PM;0.0619361111111111;200;200;1;20;0.947;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1315;-0.175;0;1.9165;1.9165;0;0;0;21.96;2.047;38.024493;250.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:43 PM;0.0633277777777778;200;200;1;20;1.091;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.143;-0.175;0;2.036;1.9165;0;0;0;21.96;2.1235;38.99948;249.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:48 PM;0.0647166666666667;200;200;1;20;0.972;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.157;-0.175;0;1.96;1.9165;0;0;0;21.96;2.09;39.899468;248.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:53 PM;0.0661083333333333;200;200;1;20;1.0565;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.12;-0.174;0;1.988;1.9165;0;0;0;21.975;2.0735;41.024453;247.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:39:58 PM;0.0675027777777778;200;200;1;20;0.968;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.144;-0.1765;0;1.9695;1.9165;0;0;0;21.99;2.0675;41.99944;246.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:03 PM;0.0688916666666667;200;200;1;20;0.948;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.164;-0.1755;0;1.953;1.9165;0;0;0;21.975;2.0715;42.824429;245.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:08 PM;0.0702805555555556;200;200;1;20;1.023;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1505;-0.176;0;2.0075;1.9165;0;0;0;21.975;2.099;43.799416;244.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:13 PM;0.071675;200;200;1;20;0.925;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1355;-0.175;0;1.919;1.9165;0;0;0;21.99;2.0365;44.924401;243.8;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:18 PM;0.0730638888888889;200;200;1;20;0.9835;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.146;-0.1765;0;1.969;1.9165;0;0;0;22.005;2.074;45.899388;242.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:23 PM;0.0744555555555556;200;200;1;20;1.0195;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1675;-0.1735;0;2.0175;1.9165;0;0;0;21.99;2.113;46.574379;242;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:28 PM;0.0758472222222222;200;200;1;20;0.983;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1265;-0.176;0;1.9285;1.9165;0;0;0;22.02;2.057;47.774363;240.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:33 PM;0.0772388888888889;200;200;1;20;1.105;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.164;-0.173;0;2.092;1.9165;0;0;0;22.02;2.1655;48.824349;240.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:38 PM;0.0786277777777778;200;200;1;20;0.971;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.12;-0.1755;0;1.9185;1.9165;0;0;0;22.035;2.0385;49.574339;239.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:43 PM;0.0800194444444444;200;200;1;20;1.054;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1285;-0.175;0;2.018;1.9165;0;0;0;22.05;2.096;50.774323;238.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:48 PM;0.0814083333333333;200;200;1;20;1.054;0;0;-1;11.14;10;10;10;1;100;0;0;0;0;1.1285;-0.175;0;2.018;1.9165;0;0;0;22.05;2.096;50.774323;238.1;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:53 PM;0.0827972222222222;200;200;1;20;0.963;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.167;-0.175;0;1.964;1.9165;0;0;0;22.05;2.0975;51.524313;237.3;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:40:58 PM;0.0841916666666667;200;200;1;20;1.0675;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1395;-0.1755;0;2.0145;1.9165;0;0;0;22.065;2.107;52.4993;236.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:03 PM;0.0855833333333333;200;200;1;20;0.9815;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1515;-0.1745;0;1.992;1.9165;0;0;0;22.05;2.077;53.399288;235.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:08 PM;0.0869722222222222;200;200;1;20;0.973;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.145;-0.176;0;1.9525;1.9165;0;0;0;22.065;2.078;54.524273;234.4;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:13 PM;0.0883666666666667;200;200;1;20;1.071;0;0;-1;10.57;10;10;10;1;100;0;0;0;0;1.1545;-0.1745;0;2.0505;1.9165;0;0;0;22.08;2.1255;55.424261;233.5;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:18 PM;0.0897583333333333;200;200;1;20;0.936;0;0;-1;10.57;10;10;10;1;100;0;0;0;0;1.133;-0.1755;0;1.9085;1.9165;0;0;0;22.08;2.0445;56.324249;232.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:23 PM;0.09115;200;200;1;20;1.0825;0;0;-1;10.57;10;10;10;1;100;0;0;0;0;1.1305;-0.174;0;2.0435;1.9165;0;0;0;22.11;2.111;57.374235;231.6;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:28 PM;0.0925416666666667;200;200;1;20;0.965;0;0;-1;10.57;10;10;10;1;100;0;0;0;0;1.1415;-0.1745;0;1.96;1.9165;0;0;0;22.14;2.064;58.274223;230.7;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:33 PM;0.0939333333333333;200;200;1;20;1;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.175;-0.176;0;1.995;1.9165;0;0;0;22.125;2.1155;59.174211;229.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:38 PM;0.095325;200;200;1;20;1.055;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.1535;-0.1735;0;2.0445;1.9165;0;0;0;22.155;2.127;60.224197;228.9;0;100;0
20250324 50E15 DN 570 UF1;3/24/2025 12:41:43 PM;0.0967166666666667;200;200;1;20;0.9585;0;0;-1;10.86;10;10;10;1;100;0;0;0;0;1.093;-0.176;0;1.8765;1.9165;0;0;0;22.155;2.002;61.124185;228;0;100;0
