,label,start_time,start_ml,end_time,end_ml
0,Column CIP,2025-06-06T16:18:07+00:00,-55.08344350000025,2025-06-06T16:33:11+00:00,-40.10008020000022
1,Charge,2025-06-06T16:33:11+00:00,-40.10008020000022,2025-06-06T16:48:14+00:00,-25.05005010000047
2,Equilibration,2025-06-06T16:48:14+00:00,-25.05005010000047,2025-06-06T17:13:18+00:00,0.0
3,Sample Application,2025-06-06T17:13:18+00:00,0.0,2025-06-06T18:37:26+00:00,84.13350159999726
4,Column Wash,2025-06-06T18:37:26+00:00,84.13350159999726,2025-06-06T18:52:29+00:00,99.15123991666556
5,Elution,2025-06-06T18:52:29+00:00,99.15123991666556,2025-06-06T20:49:32+00:00,216.1848072050071
6,Acid Strip,2025-06-06T20:49:32+00:00,216.1848072050071,2025-06-06T21:05:13+00:00,231.80150510500388
7,Sanitization,2025-06-06T21:05:13+00:00,231.80150510500388,2025-06-06T21:20:17+00:00,246.78486840500076
8,Storage,2025-06-06T21:20:17+00:00,246.78486840500076,2025-06-06T21:45:19+00:00,271.66825150499557
