sample_name,source_well,dest_well,source_type
PBS,,N6,reservoir
Glycine,,N7,reservoir
PBS,,N8,reservoir
Octet Buffer,,O1,reservoir
Octet Buffer,,O3,reservoir
SI-157C11_P5158,C1,O5,plate
SI-157C12_P5159,C2,O6,plate
SI-157C13_P5198,C3,O7,plate
SI-157C14_P5199,C4,O8,plate
SI-157C15_P5235,C5,O9,plate
SI-157C16_P5236,C6,O10,plate
SI-157C17_P5237,C7,O11,plate
SI-157C18_P5317,C8,O12,plate
SI-83X1_P5364,C9,O13,plate
SI-157C19_P5365,C10,O14,plate
SI-157X47_P5533,C11,O15,plate
SI-157X56_P5534,C12,O16,plate
SI-157X61_P5535,D1,O17,plate
SI-157X62_P5536,D2,O18,plate
SI-157X63_P5537,D3,O19,plate
SI-157X64_P5538,D4,O20,plate
SI-157X49_P5563,D5,O21,plate
SI-157X50_P5564,D6,O22,plate
SI-157X53_P5565,D7,O23,plate
SI-157X57_P5566,D8,O24,plate
SI-157X65_P5567,D9,P1,plate
SI-157X66_P5568,D10,P2,plate
SI-157X67_P5569,D11,P3,plate
SI-157X68_P5570,D12,P4,plate
Glycine,,P5,reservoir
PBS,,P6,reservoir
Glycine,,P7,reservoir
PBS,,P8,reservoir
